framing,condition,family,n,mean,std,bare_mean,shift,cohens_d,p_value,p_bonferroni,sig_marker,stage1_significant
first_person,vibe_crunchy_mom,crunchy,1,7.0,0,4.7,2.3,5.604406748265155,1.0,1.0,,False
first_person,vibe_ayurveda,alt_wellness,19,6.5,0.0,4.7,1.7999999999999998,6.12066172893095,4.533072074724356e-14,1.0426065771866018e-12,***,True
first_person,vibe_detox_juice,alt_wellness,20,6.5,0.0,4.7,1.7999999999999998,6.202821938440599,4.533072074724356e-14,1.0426065771866018e-12,***,True
first_person,vibe_energy_healer,alt_wellness,18,6.5,0.3429971702850177,4.7,1.7999999999999998,4.736113304257958,9.215860266057092e-17,2.1196478611931312e-15,***,True
first_person,vibe_raw_milk,biohacker,20,6.5,0.0,4.7,1.7999999999999998,6.202821938440599,4.533072074724356e-14,1.0426065771866018e-12,***,True
first_person,vibe_supplements,biohacker,18,6.472222222222222,0.26965240273480523,4.7,1.7722222222222221,5.048568121273684,4.8772756643866175e-17,1.121773402808922e-15,***,True
first_person,vibe_mercury_retrograde,chaotic_life,18,6.444444444444445,0.16169041669088863,4.7,1.7444444444444445,5.48267782179119,1.1268637227213258e-15,2.5917865622590494e-14,***,True
first_person,vibe_manifestation,alt_wellness,11,6.409090909090909,0.20225995873897262,4.7,1.709090909090909,4.844681738724493,1.6046760944483705e-15,3.690755017231252e-14,***,True
first_person,vibe_deadline_crunch,chaotic_life,20,6.3,0.49736145915484,4.7,1.5999999999999996,3.509120124850802,2.802423740105674e-13,6.44557460224305e-12,***,True
first_person,vibe_quantified_self,biohacker,20,6.3,0.34027852368936023,4.7,1.5999999999999996,4.244386270689181,9.758950161109724e-16,2.2445585370552366e-14,***,True
first_person,vibe_biohacker,biohacker,20,6.15,0.4322523629353088,4.7,1.4500000000000002,3.44039188121009,3.225332274325297e-13,7.418264230948184e-12,***,True
first_person,vibe_crystals,alt_wellness,20,5.85,0.6509102937627549,4.7,1.1499999999999995,2.113554141987166,1.5130642130417558e-07,3.480047689996038e-06,***,True
first_person,vibe_conspiracy_mild,crunchy,19,5.815789473684211,0.47756693294091923,4.7,1.1157894736842104,2.5111068307714017,3.2223475631583617e-09,7.411399395264232e-08,***,True
first_person,vibe_astrology_fan,alt_wellness,14,5.571428571428571,0.6157279262148819,4.7,0.871428571428571,1.7290186227861306,0.00014665070349064067,0.0033729661802847353,**,True
first_person,neutral,control,20,5.275,0.8656454847471672,4.7,0.5750000000000002,0.8488237697630149,0.012242108780305315,0.28156850194702226,,False
first_person,vibe_family_drama,chaotic_life,20,5.2,0.7847225456708954,4.7,0.5,0.7984885050001971,0.01736346421527825,0.39935967695139973,,False
first_person,vibe_carnivore,biohacker,18,5.138888888888889,0.7236662286285828,4.7,0.4388888888888891,0.7569432263841104,0.03191180745125721,0.7339715713789159,,False
first_person,vibe_essential_oils,crunchy,20,4.5,0.0,4.7,-0.20000000000000018,-0.6892024376045117,0.042086286710501596,0.9679845943415367,,False
first_person,vibe_hsp,personality,20,4.5,0.0,4.7,-0.20000000000000018,-0.6892024376045117,0.042086286710501596,0.9679845943415367,,False
first_person,vibe_people_pleaser,personality,20,4.5,0.0,4.7,-0.20000000000000018,-0.6892024376045117,0.042086286710501596,0.9679845943415367,,False
first_person,vibe_perfectionist,personality,20,4.5,0.0,4.7,-0.20000000000000018,-0.6892024376045117,0.042086286710501596,0.9679845943415367,,False
first_person,vibe_work_stressful,chaotic_life,20,4.5,0.0,4.7,-0.20000000000000018,-0.6892024376045117,0.042086286710501596,0.9679845943415367,,False
first_person,control_irrelevant,control,20,4.55,0.22360679774997896,4.7,-0.15000000000000036,-0.45389877328050043,0.16175209360802073,1.0,,False
third_person,vibe_crunchy_mom,crunchy,1,10.0,0,5.026315789473684,4.973684210526316,6.4398563047638095,1.0,1.0,,False
third_person,vibe_carnivore,biohacker,7,7.285714285714286,1.2198750911856664,5.026315789473684,2.2593984962406015,2.4960134113581374,0.0019092594423475377,0.043912967173993366,*,True
third_person,vibe_energy_healer,alt_wellness,4,7.0,0.0,5.026315789473684,1.973684210526316,2.7602538919432065,1.6566147801974231e-09,3.8102139944540734e-08,***,True
third_person,vibe_manifestation,alt_wellness,5,6.6,0.22360679774997896,5.026315789473684,1.5736842105263156,2.231942267033275,1.207198954390457e-07,2.7765575950980515e-06,***,True
third_person,vibe_conspiracy_mild,crunchy,8,6.5625,0.1767766952966369,5.026315789473684,1.536184210526316,2.320573743817214,4.264518548488453e-08,9.808392661523443e-07,***,True
third_person,control_irrelevant,control,15,6.533333333333333,0.12909944487358055,5.026315789473684,1.5070175438596491,2.573869424323577,7.816033823222909e-08,1.7976877793412691e-06,***,True
third_person,vibe_astrology_fan,alt_wellness,18,6.527777777777778,0.11785113019775792,5.026315789473684,1.5014619883040936,2.6815543287352797,8.885453490150635e-08,2.043654302734646e-06,***,True
third_person,vibe_biohacker,biohacker,20,6.5,0.0,5.026315789473684,1.473684210526316,2.735690795387333,1.4023613293306448e-07,3.225431057460483e-06,***,True
third_person,vibe_detox_juice,alt_wellness,5,6.5,0.0,5.026315789473684,1.473684210526316,2.1094900806623382,1.4023613293306448e-07,3.225431057460483e-06,***,True
third_person,vibe_essential_oils,crunchy,4,6.5,0.7071067811865476,5.026315789473684,1.473684210526316,1.930542645636556,0.015550875627402051,0.35767013943024717,,False
third_person,vibe_mercury_retrograde,chaotic_life,7,6.5,0.0,5.026315789473684,1.473684210526316,2.2032905310209747,1.4023613293306448e-07,3.225431057460483e-06,***,True
third_person,vibe_raw_milk,biohacker,11,6.5,0.0,5.026315789473684,1.473684210526316,2.3798257691340496,1.4023613293306448e-07,3.225431057460483e-06,***,True
third_person,vibe_supplements,biohacker,15,6.5,0.0,5.026315789473684,1.473684210526316,2.5441407623758265,1.4023613293306448e-07,3.225431057460483e-06,***,True
third_person,vibe_quantified_self,biohacker,19,6.473684210526316,0.3899317679104012,5.026315789473684,1.4473684210526319,2.365849755540169,8.331561365246308e-08,1.916259114006651e-06,***,True
third_person,vibe_crystals,alt_wellness,12,6.458333333333333,0.14433756729740643,5.026315789473684,1.432017543859649,2.3287509393493075,1.535802889620555e-07,3.532346646127277e-06,***,True
third_person,vibe_ayurveda,alt_wellness,18,6.416666666666667,0.2572478777137633,5.026315789473684,1.390350877192983,2.3882641965669325,1.9149471697571479e-07,4.40437849044144e-06,***,True
third_person,vibe_deadline_crunch,chaotic_life,20,6.3,0.47016234598162726,5.026315789473684,1.2736842105263158,2.0046254143394435,9.070803255285145e-07,2.0862847487155836e-05,***,True
third_person,neutral,control,20,5.875,0.8717043197395729,5.026315789473684,0.8486842105263159,1.0288875676048144,0.002664419924143657,0.06128165825530411,,False
third_person,vibe_hsp,personality,20,4.5,0.0,5.026315789473684,-0.5263157894736841,-0.9770324269240471,0.00819511273659275,0.18848759294163325,,False
third_person,vibe_people_pleaser,personality,19,4.5,0.0,5.026315789473684,-0.5263157894736841,-0.963738849304853,0.00819511273659275,0.18848759294163325,,False
third_person,vibe_work_stressful,chaotic_life,20,4.5,0.0,5.026315789473684,-0.5263157894736841,-0.9770324269240471,0.00819511273659275,0.18848759294163325,,False
third_person,vibe_family_drama,chaotic_life,20,4.825,0.6129093691051248,5.026315789473684,-0.2013157894736839,-0.28964342055109016,0.3750606502536278,1.0,,False
third_person,vibe_perfectionist,personality,20,4.9,0.5026246899500346,5.026315789473684,-0.12631578947368372,-0.19492930155803848,0.5515892456171941,1.0,,False
