condition,group,n,mean,std,ci_lo,ci_hi,shift,cohens_d,p_value
bare,baseline,20,8.0,0.0,8.0,8.0,0.0,0,nan
neutral,baseline,20,7.5,0.0,7.5,7.5,-0.5,0,0.0
control_irrelevant,control,20,7.95,0.15389675281277312,7.877974102582377,8.022025897417624,-0.04999999999999982,-0.459468291736339,0.1625499990297286
age_young,age,20,8.5,0.0,8.5,8.5,0.5,0,0.0
age_older_learner,age,20,7.9,0.2051956704170308,7.803965470109836,7.9960345298901645,-0.09999999999999964,-0.6892024376045087,0.04208628671050243
effort_illness,effort,20,8.025,0.11180339887498947,7.972674398639793,8.077325601360208,0.025000000000000355,0.3162277660168425,0.32987680092111815
effort_struggle,effort,20,7.6,0.2051956704170308,7.5039654701098355,7.696034529890164,-0.40000000000000036,-2.756809750418047,4.571438028987125e-08
effort_disability,effort,20,8.425,0.1831737742662616,8.339272034765079,8.510727965234922,0.4250000000000007,3.2812599206199295,2.8935159594250267e-09
effort_high,effort,20,7.65,0.23508117299081363,7.539978624362206,7.760021375637795,-0.34999999999999964,-2.1055482263138323,2.2827901039976906e-06
effort_low,effort,20,7.5,0.0,7.5,7.5,-0.5,0,0.0
effort_deadline,effort,20,7.475,0.11180339887498947,7.422674398639792,7.527325601360207,-0.5250000000000004,-6.640783086353602,1.3094350850971902e-14
esl_recent,esl,20,8.55,0.1538967528127731,8.477974102582378,8.622025897417624,0.5500000000000007,5.054151209099755,1.7936853757959604e-12
esl_learning,esl,20,8.975,0.11180339887498947,8.922674398639792,9.027325601360207,0.9749999999999996,12.332882874656677,1.3366004671014344e-19
identity_firstgen,identity,20,8.0,0.0,8.0,8.0,0.0,0,nan
identity_returning,identity,20,8.0,0.0,8.0,8.0,0.0,0,nan
identity_minority_class,identity,20,8.275,0.25520889276702025,8.155558561538559,8.394441438461442,0.27500000000000036,1.5238839267549964,0.00011927537719779402
credibility_teacher,credibility,20,8.025,0.11180339887498947,7.972674398639793,8.077325601360208,0.025000000000000355,0.3162277660168425,0.32987680092111815
credibility_published,credibility,20,7.4,0.2051956704170308,7.303965470109836,7.4960345298901645,-0.5999999999999996,-4.135214625627064,5.990444304398477e-11
credibility_contest,credibility,20,8.0,0.0,8.0,8.0,0.0,0,nan
expectation_low_selfdoubt,expectation_low,20,8.0,0.0,8.0,8.0,0.0,0,nan
expectation_low_struggles,expectation_low,20,8.0,0.0,8.0,8.0,0.0,0,nan
expectation_never_written,expectation_low,20,7.6,0.2051956704170308,7.5039654701098355,7.696034529890164,-0.40000000000000036,-2.756809750418047,4.571438028987125e-08
social_daughter,social,20,8.1,0.2051956704170308,8.003965470109836,8.196034529890163,0.09999999999999964,0.6892024376045087,0.04208628671050243
social_friend_sensitive,social,20,7.9,0.2051956704170308,7.803965470109836,7.9960345298901645,-0.09999999999999964,-0.6892024376045087,0.04208628671050243
stakes_college_app,stakes,20,8.0,0.0,8.0,8.0,0.0,0,nan
stakes_low,stakes,20,8.0,0.0,8.0,8.0,0.0,0,nan
stakes_competitive,stakes,20,7.05,0.15389675281277312,6.977974102582377,7.122025897417623,-0.9500000000000002,-8.729897542990475,8.493212504766036e-17
credibility_bad_grades,credibility_low,20,7.975,0.11180339887498947,7.922674398639792,8.027325601360207,-0.025000000000000355,-0.3162277660168425,0.32987680092111815
social_boss,social_power,20,8.0,0.0,8.0,8.0,0.0,0,nan
